Genus,Species,AP
Faxonius,Faxonius mississippiensis,0.166
Faxonius,Faxonius erichsonianus,0.165
Faxonius,Faxonius wrighti,0.165
Cambarellus,Cambarellus diminutus,0.164
Faxonius,Faxonius barrenensis,0.162
Faxonius,Faxonius mirus,0.162
Cambarus,Cambarus latimanus,0.16
Faxonius,Faxonius cristavarius,0.16
Faxonius,Faxonius putnami,0.16
Faxonius,Faxonius sanbornii,0.16
Procambarus,Procambarus advena,0.158
Cambarus,Cambarus monongalensis,0.157
Faxonius,Faxonius williamsi,0.155
Faxonius,Faxonius acares,0.154
Faxonius,Faxonius forceps,0.154
Cambarus,Cambarus brachydactylus,0.148
Procambarus,Procambarus talpoides,0.148
Procambarus,Procambarus kensleyi,0.147
Procambarus,Procambarus steigmani,0.147
Faxonius,Faxonius holti,0.145
Procambarus,Procambarus ceruleus,0.145
Cambarellus,Cambarellus ninae,0.144
Cambarellus,Cambarellus shufeldtii,0.144
Cambarellus,Cambarellus texanus,0.144
Faxonius,Faxonius etnieri,0.143
Cambarus,Cambarus aculabrum,0.14
Cambarus,Cambarus hubrichti,0.14
Cambarus,Cambarus jonesi,0.138
Faxonius,Faxonius hylas,0.138
Faxonius,Faxonius peruncus,0.138
Orconectes,Orconectes pellucidus,0.136
Procambarus,Procambarus versutus,0.135
Cambarus,Cambarus eeseeohensis,0.134
Cambarus,Cambarus magerae,0.134
Cambarus,Cambarus pauleyi,0.134
Procambarus,Procambarus seminolae,0.133
Cambarus,Cambarus gentryi,0.131
Cambarus,Cambarus pristinus,0.129
Faxonius,Faxonius pardalotus,0.129
Faxonius,Faxonius quadruncus,0.129
Procambarus,Procambarus viaeviridis,0.129
Faxonius,Faxonius placidus,0.128
Cambarus,Cambarus batchi,0.127
Faxonius,Faxonius eupunctus,0.127
Faxonius,Faxonius alabamensis,0.121
Cambarus,Cambarus hamulatus,0.119
Cambarus,Cambarus hatfieldi,0.117
Cambarus,Cambarus pecki,0.117
Orconectes,Orconectes packardi,0.117
Faxonius,Faxonius carolinensis,0.116
Orconectes,Orconectes australis,0.116
Barbicambarus,Barbicambarus cornutus,0.115
Barbicambarus,Barbicambarus simmonsi,0.115
Cambarus,Cambarus adustus,0.114
Procambarus,Procambarus liberorum,0.114
Faxonius,Faxonius indianensis,0.112
Faxonius,Faxonius kentuckiensis,0.112
Faxonius,Faxonius propinquus,0.112
Cambarus,Cambarus hubbsi,0.11
Cambarus,Cambarus clivosus,0.108
Cambarus,Cambarus sciotensis,0.108
Cambarus,Cambarus callainus,0.106
Orconectes,Orconectes barri,0.106
Faxonius,Faxonius difficilis,0.104
Procambarus,Procambarus acutissimus,0.104
Cambarus,Cambarus cymatilis,0.1
Fallicambarus,Fallicambarus petilicarpus,0.099
Faxonius,Faxonius marchandi,0.099
Cambarus,Cambarus cryptodytes,0.097
Faxonius,Faxonius burri,0.097
Faxonius,Faxonius bisectus,0.095
Cambarus,Cambarus nodosus,0.094
Faxonius,Faxonius jeffersoni,0.094
Faxonius,Faxonius juvenilis,0.094
Orconectes,Orconectes incomptus,0.092
Faxonius,Faxonius rusticus,0.091
Lacunicambarus,Lacunicambarus dalyae,0.089
Cambarus,Cambarus englishi,0.085
Cambarus,Cambarus halli,0.085
Faxonius,Faxonius immunis,0.085
Faxonius,Faxonius stygocaneyi,0.085
Cambarus,Cambarus guenteri,0.084
Procambarus,Procambarus simulans,0.084
Procambarus,Procambarus evermanni,0.082
Cambarus,Cambarus asperimanus,0.078
Cambarus,Cambarus cracens,0.076
Cambarus,Cambarus obstipus,0.076
Cambarus,Cambarus striatus,0.076
Orconectes,Orconectes inermis,0.076
Faxonius,Faxonius saxatilis,0.073
Creaserinus,Creaserinus oryktes,0.07
Cambarus,Cambarus reflexus,0.069
Faxonius,Faxonius illinoiensis,0.069
Faxonius,Faxonius ronaldi,0.069
Faxonius,Faxonius stannardi,0.069
Faxonius,Faxonius shoupi,0.068
Faxonius,Faxonius rafinesquei,0.067
Faxonius,Faxonius tricuspis,0.067
Cambarus,Cambarus carolinus,0.065
Cambarus,Cambarus angularis,0.062
Cambarus,Cambarus fasciatus,0.061
Lacunicambarus,Lacunicambarus acanthura,0.059
Lacunicambarus,Lacunicambarus diogenes,0.059
Lacunicambarus,Lacunicambarus erythrodactylus,0.059
Lacunicambarus,Lacunicambarus ludovicianus,0.059
Cambarus,Cambarus harti,0.057
Faxonius,Faxonius obscurus,0.053
Cambarus,Cambarus friaufi,0.048
Lacunicambarus,Lacunicambarus miltus,0.047
Cambarus,Cambarus strigosus,0.027
