Assay,Taxon,Name,Amp
CMCP_1,Unspecified,Chondrostoma turiensis,0.214
CMCP_1,Unspecified,Cirrhinus molitorella,0.213
CMCP_1,Unspecified,Alburnus demiri,0.212
CMCP_1,Unspecified,Acheilognathus meridianus,0.211
CMCP_1,Unspecified,Alburnoides thessalicus,0.21
CMCP_1,Unspecified,Alburnus thessalicus,0.21
CMCP_1,Unspecified,Barbus wynaadensis,0.209
CMCP_1,Unspecified,Alburnoides strymonicus,0.209
CMCP_1,Unspecified,Acrossocheilus beijiangensis,0.209
CMCP_1,Unspecified,Megalobrama amblycephala x Megalobrama terminalis x Megalobrama amblycephala x Megalobrama terminalis,0.209
CMCP_1,Unspecified,Alburnus filippi,0.208
CMCP_1,Unspecified,Barbus fritschii,0.207
CMCP_1,Unspecified,Carasobarbus fritschii,0.207
CMCP_1,Unspecified,Altigena yunnanensis,0.207
CMCP_1,Unspecified,Iberochondrostoma lemmingii,0.207
CMCP_1,Unspecified,Anaecypris hispanica,0.207
CMCP_1,Unspecified,Anaecypris hispanica,0.207
CMCP_1,Unspecified,Chondrostoma lemmingii,0.207
CMCP_1,Unspecified,Acheilognathus imberbis,0.206
CMCP_1,Unspecified,Acanthobrama terraesanctae,0.205
CMCP_1,Unspecified,Arabibarbus hadhrami,0.204
CMCP_1,Unspecified,Acrossocheilus monticola,0.204
CMCP_1,Unspecified,Anabarilius polylepis,0.203
CMCP_1,Unspecified,Chondrostoma polylepis,0.203
CMCP_1,Unspecified,Aspiolucius esocinus,0.202
CMCP_1,Unspecified,Acanthobrama persidis,0.202
CMCP_1,Unspecified,Capoeta tinca,0.201
CMCP_1,Unspecified,Caecobarbus geertsii,0.2
CMCP_1,Unspecified,Acheilognathus omeiensis,0.2
CMCP_1,Unspecified,Barbus prespensis,0.199
CMCP_1,Unspecified,Barbus rebeli,0.199
CMCP_1,Unspecified,Barbus guiraonis,0.198
CMCP_1,Unspecified,Barbus microcephalus,0.198
CMCP_1,Unspecified,Clinostomus elongatus,0.196
CMCP_1,Unspecified,Chrosomus erythrogaster,0.196
CMCP_1,Unspecified,Barbodes everetti,0.195
CMCP_1,Unspecified,Chondrostoma olisiponensis,0.195
CMCP_1,Unspecified,Alburnus chalcoides,0.195
CMCP_1,Unspecified,Acheilognathus tonkinensis,0.195
CMCP_1,Unspecified,Catla catla,0.194
CMCP_1,Unspecified,Barbus polylepis,0.193
CMCP_1,Unspecified,Alburnus scoranza,0.193
CMCP_1,Unspecified,Barbus perince,0.192
CMCP_1,Unspecified,Alburnoides emineae,0.192
CMCP_1,Unspecified,Capoeta ekmekciae,0.191
CMCP_1,Unspecified,Barbus tyberinus,0.19
CMCP_1,Unspecified,Barbus macedonicus,0.19
CMCP_1,Unspecified,Barbus brazzai,0.19
CMCP_1,Unspecified,Barbus johnstonii,0.189
CMCP_1,Unspecified,Barbus marequensis,0.189
CMCP_1,Unspecified,Barbus aeneus,0.188
CMCP_1,Unspecified,Chondrostoma fahirae,0.188
CMCP_1,Unspecified,Barbus hulstaerti,0.188
CMCP_1,Unspecified,Codoma ornata,0.187
CMCP_1,Unspecified,Chrosomus tennesseensis,0.187
CMCP_1,Unspecified,Barbodes binotatus,0.187
CMCP_1,Unspecified,Brevibora dorsiocellata,0.186
CMCP_1,Unspecified,Acanthalburnus microlepis,0.185
CMCP_1,Unspecified,Acanthobrama microlepis,0.185
CMCP_1,Unspecified,Alburnus kotschyi,0.185
CMCP_1,Unspecified,Alburnus albidus,0.184
CMCP_1,Unspecified,Acheilognathus polylepis,0.184
CMCP_1,Unspecified,Capoeta antalyensis,0.182
CMCP_1,Unspecified,Capoeta baliki,0.182
CMCP_1,Unspecified,Alburnoides economoui,0.182
CMCP_1,Unspecified,Cophecheilus bamen,0.182
CMCP_1,Unspecified,Ctenopharyngodon idellus,0.182
CMCP_1,Unspecified,Alburnus_sp.,0.181
CMCP_1,Unspecified,Alburnus alburnus,0.181
CMCP_1,Unspecified,Carassius cuvieri,0.181
CMCP_1,Unspecified,Barbus ethiopicus,0.178
CMCP_1,Unspecified,Barbus thysi,0.178
CMCP_1,Unspecified,Clinostomus funduloides,0.178
CMCP_1,Unspecified,Ancherythroculter nigrocauda,0.178
CMCP_1,Unspecified,Barbus viviparus,0.177
CMCP_1,Unspecified,Aphyocypris arcus,0.177
CMCP_1,Unspecified,Barilius mesopotamicus,0.176
CMCP_1,Unspecified,Barbus trispilopleura,0.176
CMCP_1,Unspecified,Barbus humilis,0.176
CMCP_1,Unspecified,Acheilognathus somjinensis,0.176
CMCP_1,Unspecified,Acrossocheilus jishouensis,0.175
CMCP_1,Unspecified,Aspius aspius,0.174
CMCP_1,Unspecified,Algansea tincella,0.174
CMCP_1,Unspecified,Biwia springeri,0.174
CMCP_1,Unspecified,Brevibora cheeya,0.174
CMCP_1,Unspecified,Campostoma oligolepis,0.173
CMCP_1,Unspecified,Belligobio nummifer,0.173
CMCP_1,Unspecified,Acapoeta tanganicae,0.172
CMCP_1,Unspecified,Barbus harterti,0.172
CMCP_1,Unspecified,Carasobarbus harterti,0.172
CMCP_1,Unspecified,Aspidoparia morar,0.172
CMCP_1,Unspecified,Anematichthys armatus,0.171
CMCP_1,Unspecified,Achondrostoma arcasii,0.171
CMCP_1,Unspecified,Chondrostoma arcasii,0.171
CMCP_1,Unspecified,Alburnus escherichii,0.171
CMCP_1,Unspecified,Alburnus filippii,0.171
CMCP_1,Unspecified,Alburnus hohenackeri,0.171
CMCP_1,Unspecified,Abbottina obtusirostris,0.171
CMCP_1,Unspecified,Alburnus alburnus,0.171
CMCP_1,Unspecified,Coreius guichenoti,0.17
CMCP_1,Unspecified,Barbus trimaculatus,0.169
CMCP_1,Unspecified,Barbus chantrei,0.168
CMCP_1,Unspecified,Carasobarbus chantrei,0.168
CMCP_1,Unspecified,Barbus canis,0.168
CMCP_1,Unspecified,Carasobarbus canis,0.168
CMCP_1,Unspecified,Carasobarbus exulatus,0.168
CMCP_1,Unspecified,Chondrostoma duriensis,0.168
CMCP_1,Unspecified,Campostoma pauciradii,0.168
CMCP_1,Unspecified,Algansea barbata,0.168
CMCP_1,Unspecified,Crossocheilus oblongus,0.168
CMCP_1,Unspecified,Barilius vagra,0.167
CMCP_1,Unspecified,Barbus erubescens,0.166
CMCP_1,Unspecified,Algansea amecae,0.166
CMCP_1,Unspecified,Anabarilius duoyiheensis,0.166
CMCP_1,Unspecified,Algansea lacustris,0.166
CMCP_1,Unspecified,Barbus tanapelagius,0.165
CMCP_1,Unspecified,Barbus calidus,0.165
CMCP_1,Unspecified,Alburnus belvica,0.165
CMCP_1,Unspecified,Chalcalburnus belvica,0.165
CMCP_1,Unspecified,Anabarilius andersoni,0.165
CMCP_1,Unspecified,Ancherythroculter lini,0.165
CMCP_1,Unspecified,Acanthobrama lissneri,0.164
CMCP_1,Unspecified,Acheilognathus longipinnis,0.164
CMCP_1,Unspecified,Barilius barila,0.163
CMCP_1,Unspecified,Acrossocheilus kreyenbergii,0.162
CMCP_1,Unspecified,Barbus guirali,0.162
CMCP_1,Unspecified,Alburnus qalilus,0.162
CMCP_1,Unspecified,Barbus gananensis,0.161
CMCP_1,Unspecified,Barbus sacratus,0.161
CMCP_1,Unspecified,Bangana tonkinensis,0.161
CMCP_1,Unspecified,Acheilognathus melanogaster,0.161
CMCP_1,Unspecified,Alburnoides kubanicus,0.161
CMCP_1,Unspecified,Barbus peloponnesius,0.159
CMCP_1,Unspecified,Acrocheilus alutaceus,0.159
CMCP_1,Unspecified,Anabarilius brevianalis,0.158
CMCP_1,Unspecified,Alburnus tarichi,0.158
CMCP_1,Unspecified,Barbus leonensis,0.157
CMCP_1,Unspecified,Aspius vorax,0.157
CMCP_1,Unspecified,Alburnus attalus,0.157
CMCP_1,Unspecified,Chalcalburnus chalcoides,0.157
CMCP_1,Unspecified,Alburnus vistonicus,0.157
CMCP_1,Unspecified,Alburnus mandrensis,0.157
CMCP_1,Unspecified,Alburnus schischkovi,0.157
CMCP_1,Unspecified,Brevibora exilis,0.157
CMCP_1,Unspecified,Barbus luteus,0.156
CMCP_1,Unspecified,Carasobarbus apoensis,0.156
CMCP_1,Unspecified,Chela maasii,0.156
CMCP_1,Unspecified,Alburnus baliki,0.156
CMCP_1,Unspecified,Culter alburnus,0.156
CMCP_1,Unspecified,Biwia yodoensis,0.155
CMCP_1,Unspecified,Chagunius baileyi,0.155
CMCP_1,Unspecified,Barbus bynni,0.154
CMCP_1,Unspecified,Ancherythroculter daovantieni,0.154
CMCP_1,Unspecified,Acrossocheilus wenchowensis,0.154
CMCP_1,Unspecified,Barbodes semifasciolatus,0.154
CMCP_1,Unspecified,Capoeta semifasciolata,0.154
CMCP_1,Unspecified,Aztecula sallaei,0.154
CMCP_1,Unspecified,Chanodichthys erythropterus,0.153
CMCP_1,Unspecified,Aphyocypris chinensis,0.153
CMCP_1,Unspecified,Barbus grypus,0.152
CMCP_1,Unspecified,Barbodes laticeps,0.152
CMCP_1,Unspecified,Alburnus timarensis,0.152
CMCP_1,Unspecified,Balantiocheilos melanopterus,0.152
CMCP_1,Unspecified,Aphyocypris kikuchii,0.152
CMCP_1,Unspecified,Barbus callipterus,0.151
CMCP_1,Unspecified,Barbus taeniurus,0.151
CMCP_1,Unspecified,Alburnus derjugini,0.151
CMCP_1,Unspecified,Bangana tungting,0.151
CMCP_1,Unspecified,Carasobarbus_sp.,0.15
CMCP_1,Unspecified,Carasobarbus sublimus,0.15
CMCP_1,Unspecified,Barbus intermedius,0.15
CMCP_1,Unspecified,Bangana elegans,0.15
CMCP_1,Unspecified,Barbonymus schwanenfeldii,0.15
CMCP_1,Unspecified,Alburnus caeruleus,0.149
CMCP_1,Unspecified,Bangana lemassoni,0.148
CMCP_1,Unspecified,Abbottina rivularis,0.148
CMCP_1,Unspecified,Barbus thamalakanensis,0.147
CMCP_1,Unspecified,Bangana decora,0.147
CMCP_1,Unspecified,Alburnus istanbulensis,0.147
CMCP_1,Unspecified,Crossocheilus burmanicus,0.146
CMCP_1,Unspecified,Acanthogobio guentheri,0.146
CMCP_1,Unspecified,Acheilognathus signifer,0.146
CMCP_1,Unspecified,Barbodes rhombeus,0.145
CMCP_1,Unspecified,Arabibarbus arabicus,0.145
CMCP_1,Unspecified,Chelaethiops elongatus,0.145
CMCP_1,Unspecified,Chondrostoma almacai,0.145
CMCP_1,Unspecified,Chondrostoma oretanum,0.145
CMCP_1,Unspecified,Anabarilius grahami,0.145
CMCP_1,Unspecified,Couesius plumbeus,0.145
CMCP_1,Unspecified,Coreoleuciscus aeruginos,0.144
CMCP_1,Unspecified,Coreoleuciscus splendidus,0.144
CMCP_1,Unspecified,Acheilognathus macropterus,0.144
CMCP_1,Unspecified,Aaptosyax grypus,0.143
CMCP_1,Unspecified,Barbus camptacanthus,0.143
CMCP_1,Unspecified,Acheilognathus peihoensis,0.142
