Taxon,Amp
Procambarus ouachitae,no sequence
Procambarus paradoxus,no sequence
Procambarus parasimulans,no sequence
Procambarus parvus,no sequence
Procambarus pearsei,no sequence
Procambarus penni,no sequence
Procambarus pentastylus,no sequence
Procambarus petersi,no sequence
Procambarus pilosimanus,no sequence
Procambarus planirostris,no sequence
Procambarus plumimanus,no sequence
Procambarus pogum,no sequence
Lacunicambarus polychromatus,no sequence
Cambarus polypilosus,no sequence
Faxonius quinebaugensis,no sequence
Procambarus raneyi,no sequence
Faxonius raymondi,no sequence
Cambarus reburrus,no sequence
Cambarus reduncus,no sequence
Procambarus regalis,no sequence
Procambarus roberti,no sequence
Bouchardina robisoni,no sequence
Procambarus rodriguezi,no sequence
Procambarus ruthveni,no sequence
Procambarus sbordonii,no sequence
Fallicambarus schusteri,no sequence
Cambarus scotti,no sequence
Cambarus setosus,no sequence
Cambarus smilax,no sequence
Cambarus speleocoopi,no sequence
Cambarus sphenoides,no sequence
Cambarus stockeri,no sequence
Faxonius taylori,no sequence
Fallicambarus tenuis,no sequence
Faxonius texanus,no sequence
Faxonius theaphionensis,no sequence
Cambarus theepiensis,no sequence
Lacunicambarus thomai,no sequence
Procambarus toltecae,no sequence
Faxonius transfuga,no sequence
Cambarus tuckasegee,no sequence
Procambarus tulanei,no sequence
Cambarus veitchorum,no sequence
Procambarus veracruzanus,no sequence
Procambarus verrucosus,no sequence
Procambarus vioscai,no sequence
Procambarus williamsoni,no sequence
Procambarus xilitlae,no sequence
Procambarus zapoapensis,no sequence
Procambarus zihuateutlensis,no sequence
Procambarus ablusus,no sequence
